name: Brooke Adams, dob: 1949
name: Mario Adorf, dob: 1930
name: Rati Agnihotri, dob: 1960
name: Edward Albert, dob: 1951
name: Alan Alda, dob: 1936
name: John Alderton, dob: 1940
name: Woody Allen, dob: 1935
name: Richard Anderson, dob: 1926
name: Ursula Andress, dob: 1936
name: Fanny Ardant, dob: 1949
name: Alan Arkin, dob: 1934
name: Lucie Arnaz, dob: 1951
name: Elizabeth Ashley, dob: 1939
name: Fred Astaire, dob: 1899
name: William Atherton, dob: 1947
name: Christopher Atkins, dob: 1961
name: Richard Attenborough, dob: 1923
name: Charles Aznavour, dob: 1924
name: Hank Azaria, dob: 1964
name: Amitabh Bachchan, dob: 1942
name: Josephine Baker, dob: 1906
name: Jill Balcon, dob: 1925
name: William Baldwin, dob: 1963
name: Anne Bancroft, dob: 1931
name: Antonio Banderas, dob: 1960
name: Ellen Barkin, dob: 1954
name: Kim Basinger, dob: 1953
name: Angela Bassett, dob: 1958
name: Ned Beatty, dob: 1937
name: Warren Beatty, dob: 1937
name: John Beck, dob: 1943
name: Harry Belafonte, dob: 1927
name: Tom Bell, dob: 1933
name: Dirk Benedict, dob: 1945
name: Hywel Bennett, dob: 1944
name: Candice Bergen, dob: 1946
name: Pat Boone, dob: 1934
name: John Boorman, dob: 1933
name: Tom Bosley, dob: 1927
name: David Bowie, dob: 1947
name: Bruce Boxleitner, dob: 1950
name: Kenneth Branagh, dob: 1960
name: Marlon Brando, dob: 1924
name: Claude Brasseur, dob: 1936
name: Beau Bridges, dob: 1941
name: Jeff Bridges, dob: 1949
name: Wilford Brimley, dob: NULL
name: James Brolin, dob: 1940
name: Albert Brooks, dob: 1947
name: Mel Brooks, dob: 1926
name: Jim Brown, dob: 1936
name: Carol Burnett, dob: 1933
name: Ellen Burstyn, dob: 1932
name: Gary Busey, dob: 1944
name: Nicolas Cage, dob: 1964
name: Michael Caine, dob: 1933
name: Helena Bonham Carter, dob: 1966
name: Veronica Cartwright, dob: 1949
name: Johnny Cash, dob: 1932
name: Seymour Cassel, dob: 1935
name: Phoebe Cates, dob: 1963
name: Adolfo Celi, dob: 1922
name: Stockard Channing, dob: 1944
name: Geraldine Chaplin, dob: 1944
name: Sydney Chaplin, dob: 1926
name: Cher, dob: 1946
name: Julie Christie, dob: 1940
name: John Cleese, dob: 1939
name: Glenn Close, dob: 1947
name: James Coburn, dob: 1928
name: Jeff Conaway, dob: 1950
name: Robert Conrad, dob: 1935
name: Francis Ford Coppola, dob: 1939
name: Roger Corman, dob: 1926
