Scott Sunderland
Iris Hoey
Ronald Culver
Edith Evans
Margaret Rurtherford
Doroty Tutin
Martin Miller
Alastair Sim
Vittorio deSics
Margaret Rutherford
Louis Jordon
Linda Chistian
David Frost
Joan Benham
Lance Percival
Tony Haygarth
Liz Smith
John Normington
s a
sa
Vicki Jenson
Gibson Frazier
Len Cariou
Lise Hilboldt
Joey Bishop
Ally Sheedy
Julie Bovassa
Ione Skye
Faraizu Baik
Angel Avilea
Jacob Vargas
Sammi Davis
Amanda deCadenet
Davis Proval
Tamlyn Tomita
Danny Verduzo
Lana McKissack
Patricia Vonne Rodriguez
Alicia Witt
The Ramones
Paul Bartel
Alix Elias
Jack Wayne
Jack Coleman
Kevin Colsonn
Gaston Batyi
Jose Sacristan
Frederico Luppi
Thais Galizky
Francesca Bertini
Gustavo Serena
Alfredo DeAntoni
Lido Manetti
Nella Montagna
Georges duFresne
Peter Yellen
Zoe Lund
Frankie Thorn
Terry Kinney
Reilly Murphy
David Ebbets
Ian Richardson
N. Ottering
Andrew Robertson
Sinead Cusack
Vittorio deSica
Stephen Rappaport
Gareth Hughes
Sam Sothern
Rudolfo Valentino
Barbara Greene
Garry K. Marshall
Art Frankel
Phyllis Haver
Montague Love
Marc McDermott
Michael Vavitch
Pasquale Amato
Vera Engels
Charles Waldron
Mervyn Jones
Judy Kelly
Anthony Baird
Esm\'e Percy
Elizabeth Welch
Cameron Finley
Erik vonDetten
Pina Menichelli
Frankie Darro
Linda Lawson
Pat Harrington~jr.
Will Kuluva
Leonard Weinrib
Edmon Ryan
William Sharon
Wolfe Barzell
Monica May
Mary Munday
Ken Patterson
Florence McMichael
Harry Swooger
Don Keefer
Lee Phillips
Les Tremaye
Ann Stanton
Edmund Haskin
John Dennis
Bert Rensen
Karl Lukas
Ada Stewart
Clegg Hoyt
Susan Harrison
John Emery
Jo vanFleet
Alice Frost
Frank Maxwell
Edmund Hashim
Jack Ging
Duke Howard
Burt Brinckerhoff
George Clarke
Joby Baker
Bernard Kates
King Calder
Bob Karnes
Harry Swoger
Ted Newton
Richard Gaines
Lola Allbright
Pat Breslin
Brian Hutton
Claudia Cravey
Peggy McKay
Katherine Crawford
Randy Boone
Jesse Jacobs
Russ Conway
Rose Montiel
George Costigan
Siobhan Finneran
Michelle Holmes
Lesley Sharp
Kulvinder Ghir
Liesel Mathews
Eleanor Brown
E-than Hawke
Gael Garcia Bernal
Maribel Verdu
Aurore Prieto
Sylvie Habault
Tracey Walker
Fox Harris
Chloe Webb
Claude Noiller
Valentine Tessier
Lea Padovani
Henri Garcin
Julien Bertheau
Semyon Shaigada
Stepan Shkurat
Sergei Stolyarov
Lyda Bonelli
Mario Bonnard
Mabel Poulton
Christopher Dienstag
Monica Caldwell
Javier Pardem
Screamin' Jay Hawkins
Jennifer Beale
Sunny Johnson
Kyle T. Hefner
Irine Cara
Roderick Cook
David Margulin
Cyntia Cruz
Raynor Scheine
Olek Krup
Dwight West
Elizabeth Pena
Patricia Kalember
Woody Harrison
Tommy Rile
Ben Silverstone
Emma GriffithsMalin
Suzanne Shepherd
Oliver Martinez
Erik Per Sullivan
Susan Oliver
Joe Pyne
Mark Goddard
The Chocolate Watchband
New Age
